"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","178","6.GET /todos/{id} (404)","chromium","Sun May 18 07:33:37 GMT 2025","passed","Sun May 18 07:33:37 GMT 2025","API challenge","api.spec.js","",""
"","181","17. POST /todos/{id} (200)","chromium","Sun May 18 07:33:39 GMT 2025","passed","Sun May 18 07:33:39 GMT 2025","API challenge","api.spec.js","",""
"","50","39. POST /todos XML to JSON","chromium","Sun May 18 07:33:43 GMT 2025","passed","Sun May 18 07:33:43 GMT 2025","API challenge","api.spec.js","",""
"","492","35.PUT /challenger/guid RESTORE","chromium","Sun May 18 07:33:42 GMT 2025","passed","Sun May 18 07:33:43 GMT 2025","API challenge","api.spec.js","",""
"","197","8.HEAD /todos (200)","chromium","Sun May 18 07:33:37 GMT 2025","passed","Sun May 18 07:33:37 GMT 2025","API challenge","api.spec.js","",""
"","167","16. PUT /todos/{id} (400)","chromium","Sun May 18 07:33:39 GMT 2025","passed","Sun May 18 07:33:39 GMT 2025","API challenge","api.spec.js","",""
"","164","12.	POST /todos (400) description too long","chromium","Sun May 18 07:33:38 GMT 2025","passed","Sun May 18 07:33:38 GMT 2025","API challenge","api.spec.js","",""
"","206","9.POST /todos (201)","chromium","Sun May 18 07:33:37 GMT 2025","passed","Sun May 18 07:33:38 GMT 2025","API challenge","api.spec.js","",""
"","331","23. DELETE /todos/{id} (200)","chromium","Sun May 18 07:33:40 GMT 2025","passed","Sun May 18 07:33:40 GMT 2025","API challenge","api.spec.js","",""
"","165","18. POST /todos/{id} (404)","chromium","Sun May 18 07:33:39 GMT 2025","passed","Sun May 18 07:33:39 GMT 2025","API challenge","api.spec.js","",""
"","512","7.GET /todos (200) ?filter","chromium","Sun May 18 07:33:37 GMT 2025","passed","Sun May 18 07:33:37 GMT 2025","API challenge","api.spec.js","",""
"","343","36.PUT /challenger/guid CREATE","chromium","Sun May 18 07:33:43 GMT 2025","passed","Sun May 18 07:33:43 GMT 2025","API challenge","api.spec.js","",""
"","169","26.GET /todos (200) JSON","chromium","Sun May 18 07:33:41 GMT 2025","passed","Sun May 18 07:33:41 GMT 2025","API challenge","api.spec.js","",""
"","176","14.	POST /todos (413) content too long","chromium","Sun May 18 07:33:38 GMT 2025","passed","Sun May 18 07:33:38 GMT 2025","API challenge","api.spec.js","",""
"","169","29.GET /todos (200) no accept","chromium","Sun May 18 07:33:41 GMT 2025","passed","Sun May 18 07:33:41 GMT 2025","API challenge","api.spec.js","",""
"","166","15.	POST /todos (400) extra","chromium","Sun May 18 07:33:38 GMT 2025","passed","Sun May 18 07:33:39 GMT 2025","API challenge","api.spec.js","",""
"","167","32.POST /todos JSON","chromium","Sun May 18 07:33:42 GMT 2025","passed","Sun May 18 07:33:42 GMT 2025","API challenge","api.spec.js","",""
"","164","24. OPTIONS /todos (200)","chromium","Sun May 18 07:33:40 GMT 2025","passed","Sun May 18 07:33:40 GMT 2025","API challenge","api.spec.js","",""
"","167","28.GET /todos (200) XML pref","chromium","Sun May 18 07:33:41 GMT 2025","passed","Sun May 18 07:33:41 GMT 2025","API challenge","api.spec.js","",""
"","271","2.Получить список заданий get /challenges","chromium","Sun May 18 07:33:35 GMT 2025","passed","Sun May 18 07:33:36 GMT 2025","API challenge","api.spec.js","",""
"","168","11.	POST /todos (400) title too long","chromium","Sun May 18 07:33:38 GMT 2025","passed","Sun May 18 07:33:38 GMT 2025","API challenge","api.spec.js","",""
"","181","5.GET /todos/{id} (200)","chromium","Sun May 18 07:33:36 GMT 2025","passed","Sun May 18 07:33:37 GMT 2025","API challenge","api.spec.js","",""
"","169","19. PUT /todos/{id} full (200)","chromium","Sun May 18 07:33:39 GMT 2025","passed","Sun May 18 07:33:39 GMT 2025","API challenge","api.spec.js","",""
"","167","31.POST /todos XML","chromium","Sun May 18 07:33:41 GMT 2025","passed","Sun May 18 07:33:42 GMT 2025","API challenge","api.spec.js","",""
"","168","27.GET /todos (200) ANY","chromium","Sun May 18 07:33:41 GMT 2025","passed","Sun May 18 07:33:41 GMT 2025","API challenge","api.spec.js","",""
"","181","40. POST /todos JSON to XML","chromium","Sun May 18 07:33:43 GMT 2025","passed","Sun May 18 07:33:44 GMT 2025","API challenge","api.spec.js","",""
"","2715","Краш при смене типа валюты","chromium","Sun May 18 07:33:14 GMT 2025","passed","Sun May 18 07:33:17 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
"","345","38. PUT /challenger/database/guid (Update)","chromium","Sun May 18 07:33:43 GMT 2025","passed","Sun May 18 07:33:43 GMT 2025","API challenge","api.spec.js","",""
"","166","21. PUT /todos/{id} no title (400)","chromium","Sun May 18 07:33:39 GMT 2025","passed","Sun May 18 07:33:40 GMT 2025","API challenge","api.spec.js","",""
"","166","34.GET /challenger/guid (existing X-CHALLENGER)","chromium","Sun May 18 07:33:42 GMT 2025","passed","Sun May 18 07:33:42 GMT 2025","API challenge","api.spec.js","",""
"","168","22. PUT /todos/{id} no amend id (400)","chromium","Sun May 18 07:33:40 GMT 2025","passed","Sun May 18 07:33:40 GMT 2025","API challenge","api.spec.js","",""
"","165","30.GET /todos (406)","chromium","Sun May 18 07:33:41 GMT 2025","passed","Sun May 18 07:33:41 GMT 2025","API challenge","api.spec.js","",""
"","195","4.GET /todo (404)","chromium","Sun May 18 07:33:36 GMT 2025","passed","Sun May 18 07:33:36 GMT 2025","API challenge","api.spec.js","",""
"","176","25.GET /todos (200) XML","chromium","Sun May 18 07:33:40 GMT 2025","passed","Sun May 18 07:33:41 GMT 2025","API challenge","api.spec.js","",""
"","12253","Кнопка ""Домой"" не возвращает пользователя на главную","chromium","Sun May 18 07:33:17 GMT 2025","passed","Sun May 18 07:33:29 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
"","167","37.	GET /challenger/database/guid (200)","chromium","Sun May 18 07:33:43 GMT 2025","passed","Sun May 18 07:33:43 GMT 2025","API challenge","api.spec.js","",""
"","3754","Едет верстка фото товара","chromium","Sun May 18 07:33:10 GMT 2025","passed","Sun May 18 07:33:14 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
"","168","13.	POST /todos (201) max out content","chromium","Sun May 18 07:33:38 GMT 2025","passed","Sun May 18 07:33:38 GMT 2025","API challenge","api.spec.js","",""
"","6201","При переходе на производителя 404","chromium","Sun May 18 07:33:29 GMT 2025","passed","Sun May 18 07:33:35 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
"","166","20. PUT /todos/{id} partial (200)","chromium","Sun May 18 07:33:39 GMT 2025","passed","Sun May 18 07:33:39 GMT 2025","API challenge","api.spec.js","",""
"","167","10.POST /todos (400) doneStatus","chromium","Sun May 18 07:33:38 GMT 2025","passed","Sun May 18 07:33:38 GMT 2025","API challenge","api.spec.js","",""
"","1883","Краш при смене количества отображаемых на странице товаров","chromium","Sun May 18 07:33:08 GMT 2025","passed","Sun May 18 07:33:10 GMT 2025","Поиск 5 багов на сайте академии багов","academybugs.spec.js","",""
"","180","3.GET /todos (200)","chromium","Sun May 18 07:33:36 GMT 2025","passed","Sun May 18 07:33:36 GMT 2025","API challenge","api.spec.js","",""
"","170","33.POST /todos (415)","chromium","Sun May 18 07:33:42 GMT 2025","passed","Sun May 18 07:33:42 GMT 2025","API challenge","api.spec.js","",""
